date,field,location,organizer,presenter,time,title
"Monday, 14 March 2016",Business economics/Industrial organization,"Max Gluskin House, room 106",Heski Bar-Isaac and Junichi Suzuki,Robert  Clark (HEC Montreal),16:10-17:30,TBA
"Wednesday, 16 March 2016",International trade,"Rotman, room 151",Kunal Dasgupta,Claudia  Steinwender (Harvard Business School),15:40-17:00,TBA
"Thursday, 17 March 2016",Macroeconomics,"Max Gluskin House, room 106",Gueorgui Kambourov and Diego Restuccia,Brant  Abbott (Queen's University),16:10-17:30,TBA
"Friday, 18 March 2016",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié and Yuanyuan Wan,Joan  Llull (Universitat Autònoma de Barcelona),14:10-15:30,TBA
"Friday, 18 March 2016",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Gustavo Bobonis and Michel Serafinelli,Supreet  Kaur (Columbia University),15:40-17:00,TBA
"Monday, 21 March 2016",Business economics/Industrial organization,"Max Gluskin House, room 106",Heski Bar-Isaac and Junichi Suzuki,Paulo  Somaini (Stanford GSB),16:10-17:30,TBA
"Tuesday, 22 March 2016",Economic theory,"Max Gluskin House, room 106",Colin Stewart,Jean Guillaume  Forand (University of Waterloo),16:10-17:30,TBA
"Thursday, 24 March 2016",Macroeconomics/International trade,"Max Gluskin House, room 106","Kunal Dasgupta, Diego Restuccia, and Xiaodong Zhu",Andres  Rodriguez-Clare (UC Berkeley),16:10-17:30,TBA
"Monday, 28 March 2016",Business economics/Industrial organization,"Max Gluskin House, room 106",Heski Bar-Isaac and Junichi Suzuki,"Amit  Gandhi (University of Wisconsin, Madison)",16:10-17:30,TBA
"Tuesday, 29 March 2016",Foundational models of human agency,"Rotman, south building, room LL1065",Rahul Deb and Byung Soo Lee,Rakesh  Vohra (University of Pennsylvania),16:10-17:30,TBA
"Wednesday, 30 March 2016",Urban and real estate economics/International trade,"Rotman, room 157",Marco Gonzalez-Navarro and Jonathan Hall,Ferdinand  Rauch (University of Oxford),16:10-17:30,TBD
"Thursday, 31 March 2016",Macroeconomics,"Max Gluskin House, room 106",Diego Restuccia and Xiaodong Zhu,Markus  Poschke (McGill University),16:10-17:30,TBA
"Monday,  4 April 2016",Business economics/Industrial organization,"Rotman, room 368",Heski Bar-Isaac,Matthew  Gentzkow (Stanford),16:10-17:30,tbc
"Tuesday,  5 April 2016",Foundational models of human agency/Economic theory,"Rotman, south building, room LL1065",Heski Bar-Isaac and Colin Stewart,Asher  Wolinsky (Northwestern University),16:10-17:30,TBA
"Wednesday,  6 April 2016",International trade,"Max Gluskin House, room 100",Peter Morrow,Mine  Senses (Johns Hopkins-SAIS),16:10-17:30,TBA
"Thursday,  7 April 2016",Macroeconomics,"Max Gluskin House, room 106",Diego Restuccia,Michael  Peters (Yale University),16:10-17:30,TBA
"Friday,  8 April 2016",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié and Yuanyuan Wan,Benjamin  Connault (University of Pennsylvania),14:10-15:30,TBA
"Friday,  8 April 2016",Empirical microeconomics (CEPA),"Max Gluskin House, room 106",Michel Serafinelli and Ronald Wolthoff,Pieter  Gautier (VU University Amsterdam),15:40-17:00,TBA
"Tuesday, 12 April 2016",Foundational models of human agency/Economic theory,"Rotman, south building, room LL1065",Matthew Mitchell and Colin Stewart,Juan  Dubra (Universidad de Montevideo),16:10-17:30,TBA
"Wednesday, 13 April 2016",International trade,"Rotman, room 127",Kunal Dasgupta,Brian  Kovak (Carnegie Mellon University),15:40-17:00,TBA
"Friday, 15 April 2016",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié and Yuanyuan Wan,Elena  Manresa (MIT Sloan School of Management),14:10-15:30,TBA
"Wednesday, 20 April 2016",International trade,"Rotman, room 127",Kunal Dasgupta,Keith  Head (UBC),15:40-17:00,TBA
"Friday, 22 April 2016",Econometrics,"Max Gluskin House, room 106",Kunal Dasgupta and Yuanyuan Wan,Gaurab  Aryal (University of Virginia),14:10-15:30,TBA
"Monday, 25 April 2016",Business economics/Industrial organization,"Rotman, room 1010",Heski Bar-Isaac,Ali  Hortacsu (Chicago),16:10-17:30,tbc
"Friday, 29 April 2016",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié,Pedro  Souza (PUC-Rio),14:00-15:20,Estimating Network Effects without Network Data
"Wednesday,  4 May 2016",International trade,"Rotman, room 151",Kunal Dasgupta,Treb  Allen (Northwestern University),15:40-17:00,TBA
"Friday,  6 May 2016",Econometrics,"Max Gluskin House, room 106",Victor Aguirregabiria and Yuanyuan Wan,Nathan  Yang (McGill University Desautels Faculty of Management),14:00-15:20,TBA
"Friday, 13 May 2016",Econometrics,"Max Gluskin House, room 106",Ismael Mourifié,Firmin  Tchatoka (The University of Adelaide),14:10-15:30,TBA
